Title	Citation	Geography	Year1	Year2	Biotypes	Marker	N.markers	H.deficit.excess	IBD.regional	Best.K	Invoke.multiple.invasions
A landscape genetic analysis of important agricultural pest species in Tunisia: The whitefly Bemisia tabaci	Abdelkrim et al. 2017	Tunisia	2014	2016	MEAM 1;MED	SSR	7	NA	NA	NA	No
Molecular characterization of whitefly, Bemisia tabaci (Hemiptera: Aleyrodidae) populations infesting cassava 	Abdullahi et al. 2003	Nigeria;Spain;Morocco;United States;India;United Kingdom;Central African Republic;Congo;Uganda;Kenya;Ivory Coast;Guinea;Iran;Ghana;Cameroon;Zambia;Togo;Benin	Unknown	Unknown	Unknown	RAPD	10	NA	NA	NA	No
What has changed in the outbreaking populations of the severe crop pest whitefly species in cassava in two decades?	Ally et al. 2019	Uganda	1997	2017	SSA1-5	SSR	13	D	NA	3	No
Genome of the African cassava whitefly Bemisia tabaci and distribution and genetic diversity of cassava-colonizing whiteflies in Africa	Chen et al. 2019	Benin;Ghana;Kenya;Liberia;Malawi;Mozambique;Sierra Leone;Togo;Uganda;Zambia;Cameroon;Congo;Nigeria;Tanzania	2009	2017	SSA	SNP	63771	NA	NA	NA	No
Spatial genetic heterogeneity in populations of a newly invasive whitefly in China revealed by a nation-wide field survey	Chu et al. 2013	China	2011	2012	MED	SSR	5	NA	NA	NA	No
Evidence for rapid spatiotemporal changes in genetic structure of an alien whitefly during initial invasion	Chu et al. 2014	China	2006	2012	MED	SSR	5	D	NA	NA	No
Genetic structure of the invasive pest Bemisia tabaci: Evidence of limited but persistent genetic differentiation in glasshouse populations	Dalmon et al. 2008	France	2003	2005	MEAM 1;MED	SSR	7	D	No	3	No
Genetic structure of the whitefly Bemisia tabaci in the Asia-Pacific region revealed using microsatellite markers	De Barro 2005	India;Taiwan;Pakistan;Bangladesh;Vietnam;Sri Lanka;Indonesia;Malaysia;Thailand;Turkey;Australia	Unknown	Unknown	Unknown	SSR	15	D	No	NA	No
Microsatellites reveal extensive geographical, ecological and genetic contacts between invasive and indigenous whitefly biotypes in an insular environment	Delatte et al. 2006	Reunion	2001	2002	MEAM 1;Indian Ocean	SSR	8	D	No	NA	Yes
Genetic structure of the whitefly Bemisia tabaci populations in Colombia following a recent invasion	Diaz et al. 2015	Colombia	2011	2011	MEAM 1	SSR	9	D	No	2	No
Population genetics of invasive Bemisia tabaci (Hemiptera: Aleyrodidae) cryptic species in the United States based on microsatellite markers	Dickey et al. 2013	United States	Unknown	Unknown	MEAM 1;MED	SSR	6	DE	NA	2	Yes
Rapid genetic turnover in populations of the insect pest Bemisia tabaci Middle East: Asia Minor 1 in an agricultural landscape	Dinsdale et al. 2012	Australia	2006	2007	MEAM 1	SSR	8	D	No	2	No
Genome-wide analyses of the Bemisia tabaci species complex reveal contrasting patterns of admixture and complex demographic histories	Elfekih et al. 2018	Australia;United States;Turkmenistan;Iran;Reunion;Sudan;Burkina Faso;Israel;Greece;Italy;Croatia;France;Spain;Trinidad;Peru;Tahiti	2006	2013	MEAM 1;MED	SNP	38041	NA	NA	NA	No
Studying genetic diversity of whitefly B. tabaci Egyptian isolates in relation to some worldwide isolates	Fahmy et al. 2015	Egypt	Unknown	Unknown	Unknown	RAPD	68	NA	NA	NA	No
Structure of genetic diversity of Bemisia tabaci (Genn.) (Hemiptera: Aleyrodidae) populations in Brazilian crops and locations	Fontes et al. 2012	Brazil	2007	2009	MEAM 1	SSR	8	D	NA	2	No
Genetic structure of Bemisia tabaci Med populations from home-range countries, inferred by nuclear and cytoplasmic markers: impact on the distribution of the insecticide resistance genes	Gauthier et al. 2014	France;Spain;Morocco;Tunisia;Greece;Israel	2003	2009	MED	SSR	7	D	No	3	No
Molecular Characterization of Bemisia tabaci Populations in Tunisia: Genetic Structure and Evidence for Multiple Acquisition of Secondary Symbionts 	Gorsane et al. 2011	Tunisia	2009	2010	MEAM 1;MED	RFLP	7	NA	NA	NA	No
Global population structure of a worldwide pest and virus vector: Genetic diversity and population history of the Bemisia tabaci sibling species group	Hadjistylli et al. 2016	United States;Australia;Burkina Faso; Cameroon;Canary Islands;China;Cyprus;Egypt;France;Greece;India;Israel;Italy;Ivory Coast;Puerto Rico;Mexico;French Polynesia;Morocco;Mozambique;Pakistan;Panama;Reunion;South Africa;Spain;Sudan;Turkey;Uganda;Yemen	1994	2009	MEAM 1;MED	SSR	13	DE	NA	NA	Yes
Evidence from molecular markers and population genetic analyses suggests recentinvasions of the Western North Pacific region by biotypes B and Q of Bemisia tabaci (Gennadius)	Hsieh et al. 2007	China;Japan;South Korea;Taiwan	1991	2006	MEAM 1;MED	COI	1	NA	NA	NA	Yes
Population genetic structure of the newly invasive Q biotype of Bemisia tabaci in Taiwan	Hsieh et al. 2011	Taiwan	2006	2008	MED	SSR	12	DE	No	NA	Yes
A nation-wide genetic survey revealed a complex population structure of Bemisia tabaci in Pakistan	Islam et al. 2018	Pakistan	2016	2016	MEAM 1;Asia II-1;Asia II-5;Asia II-7;Asia II-8	COI	1	NA	NA	NA	No
Spatio-temporal patterns of genetic change amongst populations of cassava Bemisia tabaci whiteflies driving virus pandemics in East and Central Africa	Legg et al. 2014	Burundi;Congo;Kenya;Rwanda;Tanzania;Uganda	1997	2010	SSA 1-5	COI	1	NA	NA	NA	No
Population genetics of an alien whitefly in China: Implications for its dispersal and invasion success	Li et al. 2017	China	2011	2011	MEAM 1;MED	COI	1	NA	NA	NA	No
Genetic diversity of Bemisia tabaci (Genn.) populations in Brazil revealed by RAPD markers	Lima et al. 2002	Brazil	Unknown	Unknown	MEAM 1	RAPD	72	NA	NA	NA	No
PCR-based detection and partial genome sequencing indicate high genetic diversity in Bangladeshi begomoviruses and their whitefly vector, Bemisia tabaci	Maruthi et al. 2007	Bangladesh	2003	2003	Unknown	COI	1	NA	NA	NA	No
Distribution of Bemisia tabaci (Hemiptera: Aleyrodidae) biotypes in Florida–Investigating the Q invasion	McKenzie et al. 2009	United States	2005	2008	MEAM 1;MED	COI	1	NA	NA	NA	Yes
Distribution of Bemisia tabaci (Hemiptera: Aleyrodidae) biotypes in North America after the Q invasion	McKenzie et al. 2012	United States;Canada;Mexico	2005	2011	MEAM 1;MED;New World	COI	1	NA	NA	NA	Yes
Genetic diversity of Iberian populations of Bemisia tabaci (Hemiptera: Aleyrodidae) based on random amplified polymorphic DNA-polymerase chain reaction	Moya et al. 2001	Spain;Portugal;Canary Islands	Unknown	Unknown	MEAM 1;MED	RAPD	234	NA	NA	NA	No
Population genetic structure of Bemisia tabaci MED (Hemiptera: Aleyrodidae) in Korea	Park et al. 2019	South Korea	2016	2018	MED	SSR	8	DE	Yes	2	No
